epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.416,1.28185,2.99117,1.86848,0.16954,0.4726,0.16825,0.11104,1.35193,24.0028,2.21041,0.000365871,0.000365871,0.000365871
2,678.247,0.94288,2.00439,1.44847,0.30634,0.80745,0.48248,0.38674,0.58135,40.8419,0.95423,0.00071191,0.00071191,0.00071191
3,1062.61,0.88425,1.76937,1.41547,0.28825,0.71926,0.36637,0.26736,0.75847,28.8352,1.15191,0.00103351,0.00103351,0.00103351
4,1397.61,0.84718,1.55613,1.36349,0.47956,0.88257,0.58461,0.4735,0.60953,21.832,0.9933,0.00100101,0.00100101,0.00100101
5,1784.57,0.73448,1.32438,1.30339,0.48111,0.88162,0.56738,0.49666,0.47663,19.1342,0.7426,0.000964348,0.000964348,0.000964348
6,2156.74,0.71354,1.18603,1.27275,0.52242,0.81993,0.58164,0.46049,0.58454,16.0673,0.92565,0.000927685,0.000927685,0.000927685
7,2524.33,0.70049,1.11458,1.25625,0.55577,0.90223,0.57426,0.47949,0.52356,17.4971,0.78009,0.000891022,0.000891022,0.000891022
8,2894.41,0.63429,0.96281,1.20561,0.56422,0.97735,0.60095,0.5179,0.54783,23.6273,0.74838,0.000854359,0.000854359,0.000854359
9,3254.6,0.61985,0.94218,1.19949,0.57091,0.96047,0.66769,0.60731,0.39802,17.0387,0.67547,0.000817696,0.000817696,0.000817696
10,3609.78,0.61313,0.94597,1.1844,0.5436,0.9763,0.57888,0.53969,0.33709,18.3265,0.51497,0.000781033,0.000781033,0.000781033
11,3977.23,0.60072,0.8626,1.19654,0.56752,0.90793,0.62043,0.55822,0.40663,22.0134,0.62052,0.00074437,0.00074437,0.00074437
12,4347.1,0.58581,0.79669,1.17228,0.54771,0.98291,0.59443,0.54585,0.38092,17.707,0.6866,0.000707707,0.000707707,0.000707707
13,4729.69,0.56566,0.78672,1.15884,0.56692,0.96682,0.63284,0.56335,0.42852,15.9333,0.64724,0.000671044,0.000671044,0.000671044
14,5115.32,0.53397,0.70542,1.12242,0.55907,0.98291,0.60087,0.5362,0.4447,13.5219,0.71165,0.000634381,0.000634381,0.000634381
15,5488.68,0.53342,0.70699,1.13433,0.55337,0.99106,0.62143,0.57322,0.3415,21.4057,0.55328,0.000597718,0.000597718,0.000597718
16,5804.75,0.52296,0.67047,1.13343,0.55617,0.98291,0.68333,0.63195,0.32665,14.9492,0.54954,0.000561055,0.000561055,0.000561055
17,6111.37,0.52488,0.62239,1.12633,0.55537,0.99145,0.65516,0.61,0.31456,25.5536,0.52726,0.000524392,0.000524392,0.000524392
18,6408.31,0.48448,0.6133,1.10337,0.5548,0.99074,0.65938,0.59605,0.3943,18.8369,0.64714,0.000487729,0.000487729,0.000487729
19,6708.96,0.45812,0.58838,1.09028,0.549,1,0.62766,0.57568,0.34511,24.8456,0.51812,0.000451066,0.000451066,0.000451066
20,7008.23,0.45845,0.56833,1.08929,0.55494,0.99145,0.61278,0.55412,0.40659,23.8365,0.61792,0.000414403,0.000414403,0.000414403
21,7305.24,0.58516,0.69676,1.40142,0.55797,0.99306,0.62839,0.58042,0.34241,17.9952,0.5582,0.00037774,0.00037774,0.00037774
22,7595.13,0.46435,0.51709,1.28113,0.55404,1,0.59539,0.55711,0.31066,22.3369,0.51223,0.000341077,0.000341077,0.000341077
23,7887.62,0.43516,0.45945,1.25314,0.55398,1,0.63716,0.60701,0.28263,19.879,0.45738,0.000304414,0.000304414,0.000304414
24,8179.8,0.40781,0.42261,1.21329,0.55507,1,0.61762,0.61157,0.19996,21.2022,0.38294,0.000267751,0.000267751,0.000267751
25,8469.41,0.37697,0.40326,1.19253,0.56094,0.99985,0.63275,0.63275,0.15845,16.8172,0.3281,0.000231088,0.000231088,0.000231088
26,8763.82,0.36709,0.36607,1.1867,0.55734,0.98291,0.6195,0.6186,0.15841,23.1895,0.35271,0.000194425,0.000194425,0.000194425
27,9055.36,0.36272,0.34347,1.16962,0.55443,0.99145,0.62931,0.62666,0.1775,20.2586,0.35918,0.000157762,0.000157762,0.000157762
28,9346.63,0.34487,0.33012,1.18017,0.55844,0.99145,0.68243,0.68243,0.13541,23.4765,0.31492,0.000121099,0.000121099,0.000121099
29,9642.49,0.3319,0.33103,1.155,0.55395,1,0.63751,0.63751,0.11901,20.9223,0.29766,8.4436e-05,8.4436e-05,8.4436e-05
30,9936.69,0.33695,0.31683,1.15842,0.55431,1,0.6314,0.6314,0.13604,21.0348,0.30244,4.7773e-05,4.7773e-05,4.7773e-05
