epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.699,0.94562,1.81142,1.52562,0.15122,0.87356,0.16512,0.12309,0.63045,30.4732,1.10346,0.000369858,0.000369858,0.000369858
2,317.343,0.76326,0.95918,1.36539,0.14145,0.86073,0.16065,0.12178,0.60115,33.2566,0.96161,0.000731031,0.000731031,0.000731031
3,469.137,0.69676,0.77464,1.31522,0.15797,0.9319,0.17553,0.13945,0.52749,43.7734,0.90494,0.00108304,0.00108304,0.00108304
4,621.379,0.65495,0.68507,1.28153,0.15624,0.8888,0.17601,0.14318,0.44444,32.9344,0.82916,0.00106975,0.00106975,0.00106975
5,772.95,0.60392,0.61202,1.25352,0.15867,0.96333,0.17355,0.14526,0.38588,46.447,0.78479,0.00105601,0.00105601,0.00105601
6,926.099,0.58152,0.57753,1.232,0.15535,0.99114,0.16725,0.14273,0.3831,44.4871,0.7073,0.00104226,0.00104226,0.00104226
7,1076.9,0.56238,0.541,1.21735,0.15425,0.90969,0.18092,0.1533,0.44414,45.6264,0.72179,0.00102851,0.00102851,0.00102851
8,1228,0.52791,0.51705,1.1986,0.15467,0.9879,0.17397,0.15245,0.36856,47.1885,0.66844,0.00101476,0.00101476,0.00101476
9,1377.37,0.52167,0.49938,1.19262,0.15653,0.98465,0.17536,0.15074,0.35689,43.471,0.68889,0.00100101,0.00100101,0.00100101
10,1530.68,0.5053,0.47267,1.17965,0.15736,0.98543,0.18013,0.15921,0.31687,37.9273,0.63326,0.000987262,0.000987262,0.000987262
11,1684.66,0.491,0.47271,1.17157,0.15577,0.99036,0.18427,0.15735,0.38378,42.7715,0.66616,0.000973514,0.000973514,0.000973514
12,1836.8,0.48043,0.45109,1.16572,0.155,1,0.17298,0.15017,0.37358,50.8093,0.69718,0.000959765,0.000959765,0.000959765
13,1990.93,0.47032,0.44211,1.16047,0.15388,1,0.17483,0.1484,0.35654,48.5488,0.65663,0.000946016,0.000946016,0.000946016
14,2145.55,0.45854,0.44223,1.1483,0.15474,0.97984,0.18274,0.16198,0.34544,39.6569,0.63501,0.000932268,0.000932268,0.000932268
15,2299.22,0.452,0.43236,1.14179,0.15476,0.99429,0.17703,0.15788,0.35979,43.349,0.65535,0.000918519,0.000918519,0.000918519
16,2452.43,0.4534,0.4365,1.14916,0.15438,0.97714,0.17284,0.15432,0.31105,49.316,0.57443,0.000904771,0.000904771,0.000904771
17,2605.75,0.43036,0.41717,1.12925,0.15359,0.99608,0.18172,0.1604,0.362,46.3581,0.67121,0.000891022,0.000891022,0.000891022
18,2762.75,0.42831,0.4247,1.12532,0.15341,0.99608,0.18366,0.16064,0.32836,38.6905,0.65842,0.000877273,0.000877273,0.000877273
19,2917,0.42592,0.42182,1.12271,0.15319,0.97984,0.18439,0.16797,0.3304,45.1571,0.65271,0.000863525,0.000863525,0.000863525
20,3070.58,0.41567,0.40732,1.11617,0.1533,0.99036,0.18387,0.1488,0.50416,39.8399,0.88481,0.000849776,0.000849776,0.000849776
21,3223.92,0.40118,0.39972,1.10603,0.15553,0.99036,0.18189,0.15776,0.35724,47.8686,0.72788,0.000836027,0.000836027,0.000836027
22,3378.33,0.40505,0.40504,1.11256,0.15351,1,0.17628,0.15791,0.3347,53.0517,0.64171,0.000822279,0.000822279,0.000822279
23,3533.88,0.3999,0.39653,1.10492,0.15339,0.97894,0.16601,0.14637,0.3244,46.5954,0.6158,0.00080853,0.00080853,0.00080853
24,3689.82,0.39198,0.39185,1.09965,0.15391,1,0.17939,0.16453,0.29324,45.7234,0.55448,0.000794782,0.000794782,0.000794782
25,3843.5,0.38767,0.38942,1.09596,0.1545,1,0.16812,0.1507,0.33093,49.9047,0.65966,0.000781033,0.000781033,0.000781033
26,3999.36,0.38796,0.39289,1.09508,0.15373,1,0.18628,0.16603,0.3064,43.3377,0.5798,0.000767284,0.000767284,0.000767284
27,4154.39,0.37832,0.3883,1.08984,0.15379,1,0.16964,0.14598,0.35275,47.6227,0.66696,0.000753536,0.000753536,0.000753536
28,4311.38,0.37299,0.37414,1.08567,0.15363,1,0.16636,0.15155,0.31446,49.8879,0.58847,0.000739787,0.000739787,0.000739787
29,4472.55,0.36434,0.38208,1.07711,0.15445,0.95968,0.18609,0.17163,0.29906,45.5031,0.58738,0.000726038,0.000726038,0.000726038
30,4631.34,0.35924,0.37475,1.07681,0.15248,0.96347,0.17809,0.15997,0.34624,42.8764,0.58006,0.00071229,0.00071229,0.00071229
31,4794.05,0.36193,0.36997,1.08074,0.15242,0.98555,0.16189,0.14821,0.32907,42.5447,0.60907,0.000698541,0.000698541,0.000698541
32,4957.19,0.3526,0.37312,1.07085,0.1547,0.97412,0.17248,0.15834,0.29299,47.3618,0.56803,0.000684793,0.000684793,0.000684793
33,5120.23,0.35166,0.37046,1.07266,0.15436,1,0.18618,0.16194,0.33096,47.2727,0.59675,0.000671044,0.000671044,0.000671044
