epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.479,1.31685,2.69519,1.8906,0.69942,0.27724,0.38509,0.25304,1.15836,3.19881,1.82163,0.000467827,0.000467827,0.000467827
2,448.358,0.9978,1.89756,1.50836,0.46622,0.66414,0.52197,0.32366,1.07234,2.48543,1.79348,0.000913003,0.000913003,0.000913003
3,669.985,0.90895,1.5801,1.42539,0.78895,0.61253,0.7552,0.55593,0.81196,2.14652,1.27951,0.00132674,0.00132674,0.00132674
4,869.74,0.84496,1.43406,1.37832,0.7469,0.72378,0.76213,0.61062,0.69201,2.12439,1.08922,0.00128753,0.00128753,0.00128753
5,1061.18,0.83979,1.26698,1.3636,0.86001,0.91238,0.93453,0.74488,0.70035,1.47837,1.10382,0.00124037,0.00124037,0.00124037
6,1244.66,0.82096,1.16292,1.34342,0.77752,0.65673,0.81852,0.58433,1.08428,2.00866,1.32459,0.00119322,0.00119322,0.00119322
7,1428.63,0.76121,1.07864,1.32088,0.96785,0.97091,0.98447,0.87788,0.53115,0.98948,0.8358,0.00114606,0.00114606,0.00114606
8,1655.01,0.76733,0.98626,1.28696,0.97977,0.98407,0.99483,0.83108,0.59818,0.92326,0.94213,0.0010989,0.0010989,0.0010989
9,1887.24,0.728,0.96412,1.27411,0.97931,0.97681,0.99459,0.87496,0.60145,0.89471,0.96588,0.00105174,0.00105174,0.00105174
10,2132.55,0.68975,0.8565,1.25025,0.99369,1,0.995,0.87138,0.50183,0.75762,0.76263,0.00100459,0.00100459,0.00100459
11,2365.58,0.66429,0.81617,1.21007,0.97244,0.97607,0.99259,0.83053,0.69605,0.85195,1.11451,0.00095743,0.00095743,0.00095743
12,2597.91,0.62752,0.7788,1.19454,0.99741,0.9936,0.995,0.90055,0.47502,0.62638,0.82242,0.000910273,0.000910273,0.000910273
13,2819.67,0.60213,0.75397,1.18417,0.97792,0.98483,0.995,0.88997,0.47808,0.64259,0.77034,0.000863116,0.000863116,0.000863116
14,3045.78,0.64286,0.80653,1.21652,0.97598,0.97756,0.99306,0.89407,0.4902,0.57493,0.72822,0.000815959,0.000815959,0.000815959
15,3267.33,0.58218,0.68858,1.17002,0.98601,0.99162,0.995,0.90985,0.42992,0.52431,0.71487,0.000768802,0.000768802,0.000768802
16,3493.97,0.56045,0.70869,1.15948,0.99541,1,0.995,0.92449,0.41014,0.53701,0.65628,0.000721645,0.000721645,0.000721645
17,3719.5,0.55312,0.66612,1.1588,0.99484,1,0.995,0.8845,0.48362,0.50839,0.7648,0.000674488,0.000674488,0.000674488
18,3948.82,0.55348,0.6488,1.16749,0.99167,0.99883,0.995,0.91334,0.43823,0.5188,0.71281,0.000627331,0.000627331,0.000627331
19,4185.43,0.53553,0.60613,1.14545,0.96316,0.98341,0.99467,0.93725,0.35453,0.49192,0.6159,0.000580174,0.000580174,0.000580174
20,4401.11,0.49272,0.53472,1.09487,0.97602,0.99803,0.995,0.95759,0.34008,0.52315,0.52766,0.000533017,0.000533017,0.000533017
21,4626.92,0.62895,0.71966,1.45151,0.99208,0.99262,0.995,0.9207,0.3771,0.47997,0.61912,0.00048586,0.00048586,0.00048586
22,4858.42,0.50376,0.53374,1.29589,0.98283,0.99225,0.995,0.96338,0.35197,0.53765,0.56433,0.000438703,0.000438703,0.000438703
23,5073.35,0.44022,0.51449,1.24209,0.96946,0.99398,0.995,0.96752,0.31397,0.51586,0.53304,0.000391546,0.000391546,0.000391546
24,5292.51,0.40157,0.44317,1.19597,0.99175,0.99841,0.995,0.97465,0.2308,0.40519,0.4911,0.000344389,0.000344389,0.000344389
25,5509.84,0.36937,0.45666,1.17602,0.99663,0.99961,0.995,0.97975,0.24891,0.37907,0.45541,0.000297232,0.000297232,0.000297232
26,5745.82,0.38912,0.45168,1.19848,0.99774,1,0.995,0.99097,0.23376,0.4107,0.46724,0.000250075,0.000250075,0.000250075
27,5983.81,0.36356,0.37976,1.16906,0.99811,1,0.995,0.98959,0.20275,0.38165,0.4023,0.000202918,0.000202918,0.000202918
28,6230.34,0.34814,0.35237,1.16606,0.99795,1,0.995,0.99368,0.19212,0.35166,0.39021,0.000155761,0.000155761,0.000155761
29,6469.92,0.3351,0.34451,1.15177,0.99781,1,0.995,0.98279,0.19176,0.32233,0.39137,0.000108604,0.000108604,0.000108604
30,6709.43,0.32931,0.35361,1.13468,0.99785,1,0.995,0.99291,0.17921,0.32084,0.3675,6.1447e-05,6.1447e-05,6.1447e-05
